region,preconditioned,nu,gov_region,n_samples,n_valid,alpha_mean,alpha_std,mu_mean,mu_std
Am,preconditioned,0.45,Am,7,6,-19.666235658766517,1.801127966757054,257.0497315404887,116.1769981529251
Am,preconditioned,0.49,Am,7,7,-14.16400653821601,1.602553551530689,193.33785733309193,100.33313454875875
Am,unconditioned,0.45,Am,7,6,-14.738231215240674,2.5480208772535184,386.9658578899054,170.9970898970591
Am,unconditioned,0.49,Am,7,7,-10.09931057632129,2.2637799251819746,293.05683842190086,133.2312183426734
CC,preconditioned,0.45,CC,25,17,-14.936418132687983,12.597856735424202,61.66031082870285,24.726344367968302
CC,preconditioned,0.49,CC,25,21,-13.720639596792042,13.71403106666567,37.63876921086491,18.260007335865765
CC,unconditioned,0.45,CC,25,18,-12.820698359177925,7.875245553646399,95.43490016757538,34.5525509457439
CC,unconditioned,0.49,CC,25,20,-9.10536177697112,6.901885714099078,67.81608119573973,24.403226357476978
CI,preconditioned,0.45,C,1,0,-21.202291613328576,,205.1411243696681,
CI,preconditioned,0.49,C,1,1,-19.489973602583618,,116.44211842192446,
CI,unconditioned,0.45,C,1,0,-18.36645780457725,,261.34029970434347,
CI,unconditioned,0.49,C,1,1,-13.986723343933996,,188.130550454129,
CR,preconditioned,0.45,CR,15,8,-19.82633418506704,2.962863210195037,155.68831423907613,67.08021663542253
CR,preconditioned,0.49,CR,15,10,-19.27746101795717,5.985971096165745,83.33432305916692,27.125003520628216
CR,unconditioned,0.45,CR,15,10,-18.64704832327002,2.019742746496655,209.7243606954116,97.63864527512277
CR,unconditioned,0.49,CR,15,10,-15.783283858375638,3.8927468518854327,136.2114388205271,57.58829644498521
FC,preconditioned,0.45,C,5,3,-19.63355712751767,0.9666427899115108,249.68686216714724,82.66910771946628
FC,preconditioned,0.49,C,5,4,-15.8963056301581,1.8954378757042991,168.72231383468346,53.82167936435205
FC,unconditioned,0.45,C,5,3,-15.289908757841436,1.725377555015908,361.2319092888878,127.00531429889853
FC,unconditioned,0.49,C,5,4,-11.083321941352995,1.7473176163838091,271.8891811386062,96.14490068643688
Hi,preconditioned,0.45,Hi,4,4,-17.36572537616251,2.754307528070601,184.208810688653,81.37865484484283
Hi,preconditioned,0.49,Hi,4,4,-13.088782791087803,3.146315166304165,129.96079770717947,47.58787368135362
Hi,unconditioned,0.45,Hi,4,4,-13.245309559932362,1.579040156657593,292.57787122117,147.85886461773885
Hi,unconditioned,0.49,Hi,4,4,-9.234379649791684,1.3341603899264336,218.73596528436252,112.20162138888402
M,preconditioned,0.45,M,9,7,-18.72214323085013,4.869733780759333,230.60469410625987,99.2725538681908
M,preconditioned,0.49,M,9,8,-16.349807713103203,6.357028563447801,135.60889782125753,42.66038974436925
M,unconditioned,0.45,M,9,6,-15.074990176036998,4.155241423712661,338.2926446743268,137.7707751157874
M,unconditioned,0.49,M,9,8,-11.29687862908031,4.128294006506572,238.30261216841032,91.76230342009107
MC,preconditioned,0.45,C,13,6,-20.19348296751446,1.6446109999766243,318.9823805525175,126.17558109506408
MC,preconditioned,0.49,C,13,9,-17.99243345408628,3.0639707823156725,195.495650965767,84.98796992588784
MC,unconditioned,0.45,C,13,7,-16.94624289414806,2.0623631273005425,434.34779540719353,168.5383584454937
MC,unconditioned,0.49,C,13,8,-12.941539827119271,2.1944001124150225,313.64519532444626,119.21705138030244
Me,preconditioned,0.45,BS,13,9,-18.89525268815095,7.633335221961468,228.85760087172352,106.40720698730051
Me,preconditioned,0.49,BS,13,10,-17.9648646243249,9.304194786573738,120.5314572971748,41.92608171558736
Me,unconditioned,0.45,BS,13,10,-16.11383547368177,7.202162048682793,323.4570842534825,161.20346328759976
Me,unconditioned,0.49,BS,13,9,-13.154613771249794,6.918944538954833,216.2214598926786,107.02009385050995
NC,preconditioned,0.45,BG,8,7,-15.822754240025192,5.848991157579027,198.56943349023962,99.88306239915889
NC,preconditioned,0.49,BG,8,8,-11.387905447081986,5.726597834695353,143.4641494003417,74.60390988055786
NC,unconditioned,0.45,BG,8,7,-12.58225608006508,6.096599205343943,277.57911770250223,138.292836402526
NC,unconditioned,0.49,BG,8,8,-8.30269279138717,4.942162102204502,203.2329274018436,96.4788827308011
P,preconditioned,0.45,BS,7,6,-23.231531585443037,1.3094652081026292,241.0430208189295,131.46819588676018
P,preconditioned,0.49,BS,7,7,-22.618958047879516,4.911705481406581,113.46408230981709,48.60776742737335
P,unconditioned,0.45,BS,7,6,-18.122930992392906,3.3766900290857693,360.55808358980704,184.3322662737039
P,unconditioned,0.49,BS,7,7,-14.431151655532279,4.094104855608707,241.51939866973842,112.86294731672113
Pa,preconditioned,0.45,BG,10,6,-21.159777570832272,2.144545659536513,242.0552503723613,76.13968506178294
Pa,preconditioned,0.49,BG,10,9,-17.93564133521905,3.7451125862923824,154.21799253500015,60.55959141173198
Pa,unconditioned,0.45,BG,10,7,-18.18946820207647,3.0731676409758313,332.3230898250153,137.93170639586504
Pa,unconditioned,0.49,BG,10,9,-13.670060833329464,3.2127920381629895,240.96322033521042,105.9194921919943
Pu,preconditioned,0.45,BG,10,6,-19.237285809970885,1.764604361783318,305.09824344281793,100.75883841738994
Pu,preconditioned,0.49,BG,10,9,-15.087837366435704,2.8957642078965877,206.07372728847344,55.327366748863064
Pu,unconditioned,0.45,BG,10,7,-16.267971435972708,2.6119061399347525,393.89057075633167,121.47812613447469
Pu,unconditioned,0.49,BG,10,9,-11.859741704551295,2.752949621983129,285.8247889019392,82.46295698353434
TL,preconditioned,0.45,C,2,2,-8.368713666171997,13.000593403161195,123.67654089743095,23.294349096454702
TL,preconditioned,0.49,C,2,2,-4.379944254230647,11.032376026580325,89.51368148241983,23.46567912314938
TL,unconditioned,0.45,C,2,2,-9.180409889437716,3.071522491887238,202.19388718833193,75.27478311469389
TL,unconditioned,0.49,C,2,2,-5.946096986144363,1.969837267885541,150.12643001853962,61.66804679646123
Th,preconditioned,0.45,M,13,11,-18.65783858852337,5.269052911222265,205.37522844573525,53.759808188072526
Th,preconditioned,0.49,M,13,13,-14.31940345024896,5.78358022832289,139.10100600647098,35.72817770382996
Th,unconditioned,0.45,M,13,12,-15.132270171039014,5.632547397887131,298.73836513594006,89.50407906624565
Th,unconditioned,0.49,M,13,13,-10.601796073287488,4.381390844510554,220.3357426605702,62.51640344146077
VC,preconditioned,0.45,C,4,1,-20.807408754027577,0.5801420802297999,299.024447947555,67.22681539652696
VC,preconditioned,0.49,C,4,2,-19.10423461398652,1.0946472129970524,174.95138106677084,47.47930017860167
VC,unconditioned,0.45,C,4,1,-17.63829387149778,1.7040064010721587,421.8795879489723,107.24485000077244
VC,unconditioned,0.49,C,4,2,-13.616943950222835,1.7962823014260654,306.0320002543833,90.17454318715438
WM,preconditioned,0.45,CR,23,15,-19.62411363135566,5.656773748225163,158.0022646310067,82.05791775531479
WM,preconditioned,0.49,CR,23,18,-18.94774015375244,8.62064240322985,90.34308398534924,57.542702706903086
WM,unconditioned,0.45,CR,23,15,-15.813823648719492,8.205114862831296,224.638623020688,127.97729568351217
WM,unconditioned,0.49,CR,23,18,-12.097383670917369,8.109794184362768,153.26901449577417,89.07016483489905
cN,preconditioned,0.45,CB,5,3,-22.661502251542696,4.423662454720429,123.64216116218886,38.57879214898884
cN,preconditioned,0.49,CB,5,3,-17.427616920896213,2.832844686994914,89.12912818654988,39.36855747716758
cN,unconditioned,0.45,CB,5,3,-17.496976242306012,2.534798884443435,203.0021123674,84.2960880644031
cN,unconditioned,0.49,CB,5,3,-12.702515908692282,2.901877330604974,155.48788767853108,74.7054385098782
cWM,preconditioned,0.45,CB,8,4,-23.57216870648495,7.025098760586282,211.148536738248,84.48039279036307
cWM,preconditioned,0.49,CB,8,5,-19.64932515604594,4.175636570509144,131.75842301304672,48.53072127419856
cWM,unconditioned,0.45,CB,8,4,-20.736427784975792,4.428598403079294,288.1180050167671,101.18459795857193
cWM,unconditioned,0.49,CB,8,5,-14.942243441830598,3.5709331764088224,222.22067513045022,90.79952556234562
